Time,A,B,C,ndr1,ndr2,treatment
3.7,1,1,1,9166.98,4351.54,1
3.7,1,1,0,7525.59,4074.69,0
4,1,1,1,11753.21,6031.75,1
4,1,1,0,8580.33,6099.13,0
4.3,1,1,1,13392.53,10041.42,1
4.3,1,1,0,6608.87,8223.06,0
4.7,1,1,1,16039.3,17457.48,1
4.7,1,1,0,5571.25,12122.5,0
5,1,1,1,8163.02,14177.57,1
5,1,1,0,3402.36,11634.08,0
6,1,1,1,2996.19,12072.53,1
6,1,1,0,2136.89,5158.26,0
3.7,0,1,1,6582.619286,1897.061,1
3.7,0,1,0,6049.258225,1739.78025,0
4,0,1,1,7633.962667,1800.855,1
4,0,1,0,6967.770875,1071.237,0
4.3,0,1,1,8902.85125,4177.5045,1
4.3,0,1,0,5224.22125,1778.55,0
4.7,0,1,1,11475.72438,4792.3405,1
4.7,0,1,0,4655.5608,1282.453143,0
5,0,1,1,14861.338,11293.089,1
5,0,1,0,4919.483,1450.161556,0
6,0,1,1,10626.05443,12451.56557,1
6,0,1,0,5347.978857,1694.511429,0
3.7,1,0,1,4404.551909,3916.315273,1
3.7,1,0,0,4106.504444,3830.538444,0
4,1,0,1,7319.530091,4723.182091,1
4,1,0,0,4689.6793,5534.563,0
4.3,1,0,1,10982.39417,10532.982,1
4.3,1,0,0,5798.397375,9514.96275,0
4.7,1,0,1,12475.12814,12947.62917,1
4.7,1,0,0,6888.771833,14954.151,0
5,1,0,1,9982.211,10645.8154,1
5,1,0,0,3793.0275,9902.870273,0
6,1,0,1,3764.979,6842.50775,1
6,1,0,0,1601.710857,4522.322,0
